Size,Cores,Time
240000000,93,6.419003
240000000,94,6.001290
240000000,94,5.753167
240000000,94,6.305195
240000000,94,6.240297
240000000,94,5.848966
240000000,95,5.933490
240000000,95,6.418681
240000000,95,6.325635
240000000,95,5.708022
240000000,95,5.682239
240000000,96,5.487352
240000000,96,6.629199
240000000,96,6.171548
240000000,96,6.479222
240000000,96,5.995545
240000000,97,5.923207
240000000,97,6.166121
240000000,97,6.143532
240000000,97,5.854580
240000000,97,6.030033
240000000,98,6.909844
240000000,98,6.118821
240000000,98,6.234520
240000000,98,6.561751
240000000,98,7.367805
240000000,99,5.726826
240000000,99,6.173870
240000000,99,6.403388
240000000,99,6.183623
240000000,99,7.453659
240000000,100,6.415470
240000000,100,5.781737
240000000,100,6.007460
240000000,100,5.841836
240000000,100,6.541500
240000000,101,6.856883
240000000,101,5.724019
240000000,101,6.422441
240000000,101,6.574429
240000000,101,6.551447
240000000,102,5.865296
240000000,102,6.324185
240000000,102,5.960032
240000000,102,6.038256
240000000,102,6.225473
240000000,103,5.466134
240000000,103,6.426453
240000000,103,5.771887
240000000,103,6.128566
240000000,103,5.257912
240000000,104,6.077132
240000000,104,6.407565
240000000,104,6.034781
240000000,104,6.525303
240000000,104,5.984952
240000000,105,6.739630
240000000,105,6.631893
240000000,105,5.989825
240000000,105,5.459723
240000000,105,6.028895
240000000,106,6.615818
240000000,106,6.266346
240000000,106,6.643458
240000000,106,6.401083
240000000,106,6.098373
240000000,107,5.803108
240000000,107,5.954223
240000000,107,5.545324
240000000,107,5.982637
240000000,107,5.715221
240000000,108,5.812724
240000000,108,6.034682
240000000,108,5.451841
240000000,108,5.803887
240000000,108,5.465558
240000000,109,5.574030
240000000,109,6.193640
240000000,109,5.948922
240000000,109,6.153565
240000000,109,6.153056
240000000,110,6.687995
240000000,110,6.034156
240000000,110,6.076432
240000000,110,5.895794
240000000,110,6.280066
240000000,111,5.565626
240000000,111,6.843286
240000000,111,6.489480
240000000,111,5.905186
240000000,111,5.666531
240000000,112,5.807573
240000000,112,6.019248
240000000,112,5.963252
240000000,112,5.485294
240000000,112,5.863675
240000000,113,5.725678
240000000,113,6.772679
240000000,113,7.099446
240000000,113,5.827070
240000000,113,5.647497
240000000,114,5.829408
240000000,114,6.523252
240000000,114,5.575043
240000000,114,6.075077
240000000,114,5.859305
240000000,115,5.941892
240000000,115,5.903929
240000000,115,6.102346
240000000,115,6.348322
240000000,115,6.687332
240000000,116,5.738650
240000000,116,5.388397
240000000,116,6.951235
240000000,116,6.145454
240000000,116,5.465377
240000000,117,5.917917
240000000,117,5.629243
240000000,117,5.935524
240000000,117,5.757439
240000000,117,6.452553
240000000,118,6.224294
240000000,118,5.319949
240000000,118,5.790393
240000000,118,5.801909
240000000,118,5.992596
240000000,119,5.790330
240000000,119,7.175865
240000000,119,6.161604
240000000,119,5.874691
240000000,119,6.496704
240000000,120,5.733508
240000000,120,5.405582
240000000,120,6.121442
240000000,120,5.851391
240000000,120,6.277869
240000000,121,6.418901
240000000,121,5.838962
240000000,121,6.092212
240000000,121,6.864755
240000000,121,6.560954
240000000,122,6.018823
240000000,122,5.565742
240000000,122,6.456196
240000000,122,5.515358
240000000,122,6.263980
240000000,123,5.717272
240000000,123,6.382217
240000000,123,5.852697
240000000,123,6.922669
240000000,123,6.057701
240000000,124,6.320537
240000000,124,6.364780
240000000,124,6.814559
240000000,124,5.855497
240000000,124,6.102157
240000000,125,6.482865
240000000,125,7.215793
240000000,125,6.674319
240000000,125,6.494762
240000000,125,6.337251
240000000,126,6.706624
240000000,126,6.317541
240000000,126,6.337818
240000000,126,6.294344
240000000,126,7.193359
240000000,127,7.046832
240000000,127,6.120792
240000000,127,6.275439
240000000,127,6.555521
240000000,127,6.254426
240000000,128,7.042485
240000000,128,6.176410
240000000,128,6.631352
240000000,128,7.005133
240000000,128,6.904594
