Size,Threads,Time
240000000,62,10.323734
240000000,62,9.746904
240000000,63,10.005596
240000000,63,10.114343
240000000,63,10.868625
240000000,63,9.346258
240000000,63,10.432611
240000000,64,10.724010
240000000,64,11.435969
240000000,64,11.133222
240000000,64,12.246777
240000000,64,10.400641
